title,artist_name,style,genre,description
Portrait of Doctor Gachet,van Gogh Vincent ,Post-Impressionism,portrait,"Portrait of Dr. Gachet is one of Van Gogh’s most famous paintings. The subject is Dr. Paul Gachet, who took care of him during his last years of life. Dr. Gachet had been referred to van Gogh by Camille Pissarro. He treated mainly artists, and was an amateur artist himself. Van Gogh’s first impression of the man was that he was sicker than Van Gogh himself. He completed at least three works of the good doctor, all of which depicted his somber mood and melancholic stance. In 1990, the painting received $82.5 million at auction, a record-breaking price, which continues to be one of the highest prices ever paid for a painting at auction."
First Communion,Picasso Pablo,Realism,genre painting,"""First Communion"" was Picasso’s first large-scale work. The canvas was painted in the atelier of José Garnelo Alda, where Picasso was completing his training following the advice of his father. Garnelo, a friend of José Ruiz’s and the brother of a fellow student of Picasso’s at La Llotja, was himself an art teacher who specialised in religious and moralising subject matter, so Picasso had a range of liturgical objects at his disposal on which to base his composition. In all likelihood, José Garnelo and Picasso’s father chose the motif of this oil painting that would be presented at the Exposition of Fine Arts and Crafts held in Barcelona in 1896, for such subject matter was usually distinguished with the prizes that José Ruiz hoped his son would win at the official salons. Furthermore, Garnelo was very familiar with the theme, for three years before he had painted a similar scene of a young girl, portrayed from the front and dressed for the occasion. The painting is balanced as befits academic standards, and presents a group of figures comprising the little girl dressed for the ceremony, kneeling before a missal on a prie-dieu (in whom we recognise Lola, the artist’s sister), the male character acting as godfather (who has been identified as Doctor Vilches, a friend of Picasso’s father’s) and the godmother (the latter’s wife, according to Palau i Fabre). The three figures appear in profile on three different planes, thereby giving depth to the composition, which is balanced by the figure of the altar boy (the couple’s son). The light source for the scene is located outside the picture plane and reveals Picasso’s technical command, surprising for his age, which is also evinced by the translucence of the girl’s veil, the altar boy’s surplice and the altar cloth, despite their conventionalism. The colour of the painting is also characteristic of the period and befits the religious subject matter: red hues for the walls and the prie-dieu, forming a contrast with the brilliant white of the girl’s dress. The discreet motifs of the carpet and the striped cloth, along with the bright cheerful colours of the altar flowers enhance the colouring of the ensemble. Two studies for First Communion in a sketchbook in the museum’s collection show the figure of Lola kneeling before the prieu-dieu reading the missal, and other sketches and depictions of the altar boy are also kept in the museum.

[url href=https://museupicassobcn.cat/en/node/1024]museupicasso[/url]"
Science and Charity,Picasso Pablo,Realism,genre painting,"Science and Charity is one of the major works from Picasso’s early years of training. At just 15, Picasso felt mature enough to take on large ambitious compositions as the culmination of his academic studies in Barcelona School of Fine Arts that were led by his father Jose Ruiz Picasso, who was the model for the doctor in this painting. Science and Charity was awarded an Honorary Mention at the General Fine Arts Exhibition in Madrid in spring 1897 and the Gold Medal at the Provincial Exhibition in Malaga held afterwards. After that, Joaquin Martinez de la Vega – a painter and a friend of Picasso’s father – held a glass of champagne and, letting a few drops fall on Picasso’s head, baptized him a Painter. And Picasso’s uncle, impressed by this wonderful achievement, sent money so that his nephew could study further in Madrid. However, despite the success, this would be Picasso’s last great work in traditional academic style. He left behind the intention, fostered by his father, to shape a career based on prizes and awards, to seek his artistic path outside and beyond the academy."
La Maja con Bandolina,Picasso Pablo,Expressionism,portrait,"Created by Pablo Picasso, March 7, 1907 in the City of Rome and given to his friend and private secretary Jaime Sabartes Gual while the ink was still drying. The work has been in exhibitions in New York and City of Milan, but mostly held in Sabartes private collection until 1960.
It is documented with a written statement by Jaime Sabartes recalling the day he received the painting from Picasso and having it signed.

The painting measures 45 cm by 34 cm, being one of Oil on Buta Percha and signed in dry iron oxide and vegetal resin. It is believed that it depicts one of Picasso's lovers holding a Bandolina. The painting celebrates 110 years, now in a private collection and has not been shown in over 50 years."
Harlequin and woman with necklace,Picasso Pablo,Cubism,portrait,"""With this large composition made in Rome in 1917, Picasso takes full advantage of the aesthetic of collage, characteristic of late Cubism. Flat and geometric forms seem to be superimposed onto each other, as if they were underscored by the cut-outs of blue, grey, black and white and stippled surfaces. The overall effect is of a meticulous cut-out that is brought to life by some more realistic elements that are not devoid of humour, like the lady's necklace and her pointed nose. This composition also has a decidedly decorative dimension, reminding us of the painter's collaboration at the time with the Ballets Russes for the curtain and décors of Parade."""
Minotaur is wounded,Picasso Pablo,"Expressionism, Neoclassicism",mythological painting,"The mythical Minotaur—part man, part bull—was Picasso's alter ego in the 1930s and part of a broader exploration of Classicism that persisted in his work for many years. The Minotaur was also emblematic for Surrealists, who saw it as the personification of forbidden desires. For Picasso it expressed complex emotions at a time of personal turmoil. The Minotaur symbolized lasciviousness, violence, guilt, and despair."
The Remains of Minotaur in a harlequin costume,Picasso Pablo,"Neoclassicism, Surrealism",symbolic painting,"This artwork was painted in 1936 as the stage curtain for Romain Rolland's play [i]Le 14 Juillet[/i]. The work, which stands about 9 metres high and more than 12 metres across, has little direct reference to the play and was apparently hurriedly completed as an enlargement from a small gouache - an opaque watercolour - which had been finished long before the commission. 

The subject is a strange choice, because there is no iconographic or narrative link to Romain Rolland's enthusiastic play. There is evidence, though, that the artist did try a Revolutionary design but did not have the time to complete it. There is a curious drawing dated June 13, 1936 which shows a joyful crowd with what looks like a symbolic reference to the taking of the Bastille. On the other hand, Picasso was obsessed by personal allusions at the time with reference to mythology and bullfighting. You can see in the curtain the confrontation of good and evil, the victory of youth, and beauty conquering menace, which was a logical rapprochement of the epic themes of both Picasso and Rolland.

Picasso was so attached to the work that he kept it in his Paris atelier throughout the war, and only donated it to Toulouse, a southern city with a strong bullfighting tradition, in 1965. At present the curtain is in its own gallery in the Espace d'Art Moderne et Contemporain, Toulouse, France."
Guernica,Picasso Pablo,"Cubism, Surrealism",allegorical painting,"[i]Guernica[/i] was Picasso's response to the bombing of the Basque town of the same name on April 26, 1937 during the Spanish Civil War. Picasso was commissioned by the republican government of Spain to produce a mural painting for the Spanish Pavilion at the World Fair in Paris. Painted in one month - from May to June 1937 - [i]Guernica[/i] became the centerpiece of the Spanish pavilion and a sensation at the Fair, but it was consequently banned from exhibition in Spain until military dictator Franco fell from power in 1975. 

Picasso had studied dramatic photographs of bombing published in various periodicals. Despite that, neither the studies nor the finished picture contain a single allusion to a specific event, constituting instead a generic plea against the barbarity and terror of war. The scene depicted in [i]Guernica[/i] is a room full of moving, screaming and dying adults, children and animals. Most of the individual images are also symbols: a bull (virility of man), a woman with a dead child (pieta image), a horse (innocent people), a dead soldier with stigmata (martyrdom), a blazing light (bombs), a prison cell (torture), a dove (peace).

[i]Guernica[/i] is painted in monochrome, using a palette of grey, black, and white. Perhaps Picasso wanted to give his painting a veneer of photojournalistic realism; or maybe the bleak, night-time colour scheme complemented the jagged shapes and terror-stricken faces, and added to the sense of panic and terror. In any event, the lack of colour gives added impact to the flattened Cubist forms, and adds to the drama of the work by allowing Picasso to highlight key faces and objects in white. This painting is undoubtedly modern art's most famous response to war, and an international symbol of genocide committed during wartime."
Weeping Woman,Picasso Pablo,Surrealism,portrait,"During 1937 Picasso became obsessed with the motif of a weeping woman, which symbolised for him the anguish and devastation of the Spanish Civil War. The figure first appeared among the sketches for [url href=https://www.wikiart.org/en/pablo-picasso/guernica-1937][i]Guernica[/i][/url], his famous depiction of the German bombing raid on a Basque town. Picasso produced between sixty and seventy preparatory works and postscripts to [i]Guernica[/i]. Of the subjects he explored the most frequently depicted image is that of a single female head, bearing an expression of anguish and engulfed in tears. There has been traced thirty-six unique works depicting such images, executed between May and the end of October 1937: 9 paintings on canvas, 21 drawings on paper or card, and 6 small drawings on matchboxes.

The ‘architecture’ of the woman's face in [i]Weeping Woman[/i] is, however, very different from the flat outlined faces of [i]Guernica[/i]. Furthermore, the brilliant and brash colouring of this painting was not only shocking in itself but particularly powerful in being associated with grief. 

The model for the entire [i]Weeping Woman[/i] series was a professional photographer [url href=https://www.wikiart.org/en/dora-maar]Dora Maar[/url], who was one of the leading surrealist artists of the 1930s. After meeting Picasso in Paris, in 1936, she became his mistress, muse, and intellectual companion. A strong personality, she was instrumental in expanding Picasso's political awareness, and he painted her dozens of times over the course of their relationship from 1936 to 1943. 

[i]Weeping Woman[/i] was purchased from Picasso by the British Surrealist artist Roland Penrose shortly after it had been completed in early November 1937. Penrose contextualized this artwork as a Surrealist painting and as a major postscript to [i]Guernica[/i]."
Bull's Head,Picasso Pablo,"Surrealism, Dada",sculpture,"Picasso’s engagement with sculpture was episodic. He would dabble in three dimensions, go back to painting for years at a time, then return to a totally new type of sculpture: wire constructions in the 1930s, ceramics in the 40s, sheet metal follies in the 50s. His dealer, Daniel-Henry Kahnweiler, is said to have introduced to Picasso the then-novel concept that he might be a “painter-sculptor.” The two disciplines were walled off from one another by different craft traditions, with sculptors requiring training in specific media, like clay and bronze, that Picasso did not have.

Amid Picasso’s constant reinventions, the implication of [url href=https://www.wikiart.org/en/paintings-by-media/assemblage]assemblage[/url] took a while to work its way through the system. The most famous of all Picasso’s found-object works hails from  1942. Laboring amid the relative privation of occupied Paris, he grafted a bicycle seat to a set of handlebars, a mythic bull’s head conjured from the detritus of urban life like the face of Jesus radiating from the Shroud of Turin. Bull’s Head was cast in bronze, and what Picasso had to say about that decision is interesting: [i]The marvelous thing about bronze is that it can give the most heterogeneous objects such unity that it’s sometimes difficult to identify the elements that compose it. But that’s also a danger: if you were to see only the bull’s head and not the bicycle seat and handlebars that form it, the sculpture would lose some of its impact.[/i] With this quote, Picasso seems to stand at a crossroads between different ways of thinking about art. His sculptures vibrate with the energy of transmissions picked up from everyday material culture, but he is still committed to the ennobling virtues of traditional materials, afraid that these everyday materials won’t add up to much on their own.

As an artist, Picasso will always be associated with painting, and specifically with Cubism, the ur modernist -ism. Yet for all its transformative power, the specific theories of Cubist painting were dated for artists working a generation later, a mode consigned to a previous era of development.

Assemblage, on the other hand, was one of the main events of the century to come. It represented the conceptual innovation necessary for visual artists to adapt to a world of mass-produced industrial objects and ever-more intensive media images. And so, in the light of history, Picasso’s sculpture ends up looking like it has more depth."
Bull (plate XI),Picasso Pablo,Cubism,animal painting,"Pablo Picasso created 'Bull' around the Christmas of 1945. 'Bull' is a suite of eleven lithographs that have become a master class in how to develop an artwork from the academic to the abstract. In this series of images, all pulled from a single stone, Picasso visually dissects the image of a bull to discover its essential presence through a progressive analysis of its form. Each plate is a successive stage in an investigation to find the absolute 'spirit' of the beast.

In the final print of the series, Picasso reduces the bull to a simple outline which is so carefully considered through the progressive development of each image, that it captures the absolute essence of the creature in as concise an image as possible."
Seated Woman with Red Hat,Picasso Pablo,Surrealism,portrait,"Seated Woman with Red Hat was created using a layered glass technique called gemmail; it uses individual pieces of colored glass overlapped and joined together with clear liquid enamel and then fired. When illuminated from behind, gemmail produces a result that modulates color and captures light through many layers and textures of glass. Although Picasso was less-known for this art form, he produced 50 or more gemmaux masterpieces during his two years of study at the Malherbe Studio in France."
Annunciation,da Vinci Leonardo,Early Renaissance,religious painting,"[i]Annunciation[/i] (ca. 1472) is one of Leonardo da Vinci’s earlier works, which was commissioned by the church of San Bartolomeo in Monte Oliveto. Leonardo painted with oil and tempera on wood, an untraditional choice since oil was usually used on canvas. From its rectangular shape and size, the painting was likely intended for the sacristy (a room where priests prepare for service and objects of worship are held) of the newly renovated church. Prior to 1869, [i]Annunciation[/i] was attributed to Florentine painters like [url href=https://www.wikiart.org/en/domenico-ghirlandaio]Domenico Ghirlandaio[/url] and [url href=https://www.wikiart.org/en/andrea-del-verrocchio]Andrea Verrocchio[/url]. However, radiographic and spectrographic tests as well as newly discovered preparatory sketches indicate that Leonardo painted [i]Annunciation[/i] while he was training in the workshop of Andrea Verrocchio. Various sketches by Leonardo, [url href=https://www.wikiart.org/en/leonardo-da-vinci/lily][i]Lily[/i][/url] (1473-1475), [url href=https://www.wikiart.org/en/leonardo-da-vinci/sleeve-study-for-the-annunciation-1473][i]The Study of a Sleeve[/i][/url] (1473), [url href=https://www.wikiart.org/en/leonardo-da-vinci/the-study-of-a-drapery-of-a-figure-kneeling][i]The Study of a Drapery of a Figure Kneeling[/i][/url] (1473) and [url href=https://www.wikiart.org/en/leonardo-da-vinci/the-study-of-drapery-of-a-seated-figure-1473][i]The Study of Drapery of a Seated Figure[/i][/url] (1473) demonstrate his extensive preparatory work for [i]Annunciation[/i].

The depicted scene is based on the New Testament: the Angel Gabriel visits the Virgin Mary announcing to her that she was chosen by God to be the mother of his Son. Leonardo demonstrates innovation and creativity in his composition, which differs from the traditional depictions of the Annunciations, such as Filippo Lippi’s [url href=https://www.wikiart.org/en/filippo-lippi/annunciation-1445][i]Annunciation[/i][/url] (1445) and Fra Angelico [url href=https://www.wikiart.org/en/fra-angelico/annunciation][i]Annunciation[/i][/url] (ca. 1435), that portray an interior setting with a partial view of a landscape. Leonardo’s [i]Annunciation[/i] is in an open courtyard of a Renaissance palace with a Tuscan landscape and seascape in the background. The landscape was painted in the [i]sfumato[/i] technique, which softens the transition between colors, so the human eye does not perceive boundaries and lines. Through this technique, Leonardo captured the diffusion of air changes, giving the illusion of a continuous flow of air and mist.

Leonardo carefully conceived each element in the [i]Annunciation[/i], making complex connections to the life and death of Christ. For instance, the carpet of spring flowers relates to the religious scene: the lily whites, daisies, white champions, morning glories and lavender all symbolize the Virgin’s innocence and purity. Other flowers, such as irises, passion flowers and myositis are associated with her feeling of love and mourning. Another important element in Annunciation is the marble lectern placed between the Virgin Mary and the Angel Gabriel. The lectern is a combination of a Renaissance baby cradle and a sarcophagus, thus it symbolizes both the birth and death of Christ. This is also seen in other paintings like Raphael’s [url href=https://www.wikiart.org/en/raphael/holy-family-known-as-the-grande-famille-of-francois-i-1518][i]The Holy Family of Francis I[/i][/url] (1518) and Lorenzo Lotto’s [url href=https://www.wikiart.org/en/lorenzo-lotto/madonna-with-st-jerome-and-st-anthony-of-padua-1521][i]Virgin and Child with Saints Jerome and Nicholas of Tolentino[/i][/url] (1524). Leonardo decorated the lectern with classical motifs like acanthus leaves, garlands, scallop shells and lion’s paws. In its design, the lectern is reminiscent of [url href=https://www.wikiart.org/en/andrea-del-verrocchio/tomb-of-giovanni-and-pietro-de-medici-1472]the sarcophagus designed by Verrocchio for Giovanni de’ Medici[/url] (1472) at the Old Sacristy in the Church of St. Lorenzo in Florence. By placing the lectern in a blooming meadow, Leonardo adds another layer of meaning: the lectern alludes to a mortuary and Christ’s death, while the flowers symbolize the present moment and his life."
The Lady with an Ermine (Cecilia Gallerani),da Vinci Leonardo,High Renaissance,portrait,"The portrait [i]Lady with an ermine[/i] (1489-1490) by Leonardo Da Vinci depicts Cecilia Gallerani, the teenage mistress of Ludovico Sforza, the regent and later the Duke of Milan. While some scholars doubted this identification, ample evidence affirms Cecilia Gallerani is the subject of [i]Lady with an ermine[/i]. The earliest mention of the portrait appears in a sonnet by court poet Bernardo Bellincioni, in which he notes that it seems as if Cecilia is listening to an unseen speaker. Further confirmation exists in a correspondence between Cecilia and Isabella d’Este, the marquise of Mantua. In her letter, the marquise asks Cecilia to send her the portrait so she can compare Leonardo’s work to that of another master, [url href=https://www.wikiart.org/en/giovanni-bellini]Giovanni Bellini[/url]. Most importantly, the correspondence reveals that although Ludovico commissioned the painting, Cecilia owned it.

It is possible that because Cecilia was not of the highest rank, Leonardo allowed himself the freedom to break away from local conventions of portraiture. Most notably, he abandoned the local tradition of the profile portrait in favor of a three quarter view of the subject. Through the innovative pose Leonardo provoked the viewer’s curiosity and engaged them with the sitter of the portrait: she seems to be attentively gazing at something or someone out of view at the right side of the picture. The lady holds the ermine with her left hand, while her right hand elegantly caresses the animal’s shoulder. The suggestive hand gesture recurs in Leonardo’s later composition [i]Leda and the Swan[/i]  - even though the oil painting did not survive, the overall composition is known from [url href=https://www.wikiart.org/en/leonardo-da-vinci/leda-and-the-swan-1506]drawings[/url] and [url href=https://www.wikiart.org/en/il-sodoma/leda-and-the-swan-copy-of-leonardo-da-vinci-1515]oil copies[/url] made after Leonardo’s painting. In [i]Lady with an ermine[/i], Leonardo also demonstrated tremendous skill in his treatment of contrasting textures: the smooth skin next to the ermine’s fur, the carved jet-black beads against the chest and the intricately woven dress, the embroidered garment besides the smooth plain silk.

One of the key elements of the painting is the lively creature Cecilia holds in her arms. In fact, the symbolism of the ermine provides further evidence supporting the identification of Cecilia as the sitter. The ermine is a symbol of moderation and purity, and as such, its inclusion is appropriate for a portrait of a mistress of a Renaissance duke. Scholars also pointed to the fact that the Greek word for ermine is [i]galé[/i], thus it is a play on the Cecelia’s surname (Gallerani). Additionally, some have suggested that the ermine is an emblem associated to Ludovico, thus the ermine can be interpreted as an allusion to Cecilia’s lover.

[i]Lady with an ermine[/i] was purchased in Italy around 1800 by the Polish Prince Adam Jerzy Czartoryski. He brought the painting to Poland, where he presented it to his mother, the Princess Izabella. The painting was incorporated into the family collection in Puławy, the museum founded by Princess Izabella in 1796. Today, it is the highlight of the collection at the Czartoryski Museum in Kraków, and is considered one of Poland’s national treasures."
The Last Supper,da Vinci Leonardo,High Renaissance,religious painting,"One of the most famous paintings in the world, [i]The Last Supper[/i] by Leonardo da Vinci was painted in the late 15th century for the Dominican monastery Santa Maria delle Grazie in Milan. The wall painting was commissioned by the Duke of Milan, Ludovico Sforza, who was Leonardo’s patron during his first extended stay in Milan.

The composition of [i]The Last Supper[/i] is neatly arranged - Jesus is positioned in the center of a long table and the Apostles are to his left and right. The room is relatively plain: dark tapestries cover the walls on either side, while three windows on the back wall reveal a landscape that recalls the countryside of Milan. Leonardo created the illusion of space by using linear perspective – a technique in which all parallel lines in the painting converge in a single vanishing point. In [i]The Last Supper[/i], the single vanishing point, at Jesus’s right temple, draws the viewer’s attention to the main subject in the foreground. Jesus adorns the traditional blue and red robes, but he has no halo. Some scholars have suggested that Leonardo alludes to the halo through the shining light from the window behind Jesus, or the pediment above the window. Others however believed that the absence of the halo signifies the fact that Jesus is a still human being, who, as such, will suffer through the pain and death of the Passion.

In his depiction of [i]The Last Supper[/i], Leonardo chose to present the scene as a depiction of successive moments: Jesus has declared to the Apostles that one of them will betray him, and the Apostles react to his announcement. The serene expression and posture of Christ stands in contrast to the confused and agitated state of the Apostles. Their reactions and postures vary, adding interest and drama to the composition: on Christ’s left, James the Greater throws his arms out in anger, Thomas gestures to the sky as if to question God’s plan, and Phillip points towards himself wondering could he be the traitor. Some reactions hold additional symbolism: Peter holds a knife behind his back that he will later use to cut off an ear of a soldier attempting to arrest Christ. Judas, who is next to Peter, tightly grips the purse with the reward he received for betraying Jesus with one hand, while he reaches toward a dish with the other. Judas and Jesus reach for the same dish, a reference to the biblical quote: “[i]The one who has dipped his hand into the bowl with me will betray me[/i]” (Matthew 26:23).

When painting [i]The Last Supper[/i] Leonardo used an experimental technique, working with tempera and oil paint. The experimental technique combined with the humidity and the dampness of the location led to the quick deterioration of the painting. Over the centuries, the painting suffered additional damage. Due to its poor condition, the painting underwent a major restoration that began in 1978. The restoration, completed in 1999, proved controversial: many were dissatisfied with the outcome saying that hardly any of Leonardo’s original work is visible. Still, some praised the recovery of many details, like the food on the table and the facial expressions."
Battle of Anghiari,da Vinci Leonardo,High Renaissance,battle painting,"A copy possibly made from the original incomplete work after a fresco by Leonardo da Vinci in the Palazzo della Signoria in Florence, executed in 1504-1505 and destroyed around 1560. 
In March 2012, it was announced that a team led by Maurizio Seracini has found evidence that the Lost Leonardo still exists on a hidden inner wall behind a cavity, underneath a section of Vasari's fresco in the chamber of Salone dei Cinquecento (Hall of the Five Hundred) in the Palazzo Vecchio, Florence. 
Its central scene depicted four men riding raging war horses engaged in a battle for possession of a standard, at The Battle of Anghiari in 1440. Purportedly, from left to right are Francesco Piccinino; Niccolò Piccinino; Ludovico Trevisan; Giovanni Antonio Del Balzo Orsini."
